text,AE
A 10-year-old asthmatic boy began to suffer from urticarial rash and moderately severe bronchospasm after 8 weeks' treatment with disodium cromoglycate.,"['moderately severe bronchospasm', 'urticarial rash']"
Asthma and urticaria during disodium cromoglycate treatment.,"['Asthma', 'urticaria']"
"When DSCG was withdrawn, urticaria vanished and the child remained symptom-free.",['urticaria']
This progressed to tracheal compression with stridor after he had taken some aspirin for relief of the neck pain.,['tracheal compression']
"In keeping with findings in the literature, the aortic wall in this case was damaged by secondary changes following irradiation and Bleomycin treatment.",['aortic wall in this case was damaged']
A 58-year-old man with rheumatoid arthritis developed lichen planus during treatment with gold.,['lichen planus']
Acne provoked by gold seems not to have been described elsewhere.,['Acne']
Lichen planus and acne provoked by gold.,"['acne', 'Lichen planus']"
"The case history confirms that gold treatment, even in the same patient, can give rise to a wide range of skin disturbances, which in many cases do not break out until long after the drug has been withdrawn.",['skin disturbances']
Anterior spinal artery syndrome--a complication of cervical intrathecal phenol injection.,['Anterior spinal artery syndrome']
"We have seen a case of terminal malignant melanoma in which clinical manifestations, indicative of anterior spinal artery syndrome, developed following the injection of 0.3 ml of 10% phenol-glycerine into the cervical subarachnoid space at the C4--C5 level for the control of severe right arm pain.",['anterior spinal artery syndrome']
"A retrospective epidemiological study of deaths from hepatic angiosarcoma (HAS) in the U.S. showed that during 1964--74 there were 168 such cases, of which 37 (22%) were associated with previously known causes (vinyl chloride, 'Thorotrast', and inorganic arsenic) and 4 (3.1%) of the remaining 131 cases with the use of androgenic-anabolic steroids.","['hepatic angiosarcoma', 'hepatic angiosarcoma', 'hepatic angiosarcoma']"
"A 61-year-old man developed clinical lupus syndrome with positive antinuclear antibody, positive lupus erythematosus (LE) cell preparation, and diffuse proliferative glomerulonephritis following 26 months of procainamide therapy.","['clinical lupus syndrome', 'diffuse proliferative glomerulonephritis', 'lupus erythematosus']"
Glomerulonephritis in procainamide induced lupus erythematosus: report of a case and review of the literature.,"['Glomerulonephritis', 'lupus erythematosus']"
There have been many reports of probable lithium-induced organic brain syndromes occurring when serum lithium levels are within or close to the therapeutic range.,['organic brain syndromes']
"When the acute manic state is characterized by marked psychotic symptoms and intense anxiety, it may be associated with increased vulnerability to the development of severe lithium neurotoxicity.","['intense anxiety', 'neurotoxicity', 'psychotic symptoms']"
A patient with rheumatoid arthritis developed an acute intrahepatic cholestasis after 100 mg of sodium aurothiomalate.,['intrahepatic cholestasis']
A patient who had been treated with large doses of thyroid hormone for several years developed features of secondary hypothyroidism after thyroid hormone withdrawal.,['hypothyroidism']
Anaphylaxis after the injection of chymopapain occurs in about 1% of such cases.,['Anaphylaxis']
Both patients suddenly became hypotensive after injection of chymopapain into a disk.,['hypotensive']
A patient developed cholestatic hepatitis while being treated with nitrofurantoin.,['cholestatic hepatitis']
A second episode of jaundice followed the intravaginal administration of a mixture of furazolidone and nifuroxime.,"['jaundice', 'jaundice']"
Five personal observations of an acute amnestic episode in younger individuals after intake of clioquinol are described together with three observations from the medical literature.,['acute amnestic episode']
The clinical aspect closely resembled classical transient global amnesia but the episode after clioquinol lasted longer (24 hours to three days) and a more or less extensive retrograde amnesia persisted permanently.,"['retrograde amnesia', 'transient global amnesia']"
Transient global amnesia after clioquinol: five personal observations from outside Japan.,['Transient global amnesia']
Cardiomyopathy after widely separated courses of adriamycin exacerbated by actinomycin-D and mithramycin.,"['Cardiomyopathy', 'Cardiomyopathy', 'Cardiomyopathy']"
Exacerbations of the heart failure were temporally related to the administration of the antitumor antibiotics actinomycin-D (NSC-3053) and mithramycin (NSC-24559).,"['Exacerbations of the heart failure', 'Exacerbations of the heart failure', 'Exacerbations of the heart failure', 'Exacerbations of the heart failure']"
"The pathogenic mechanisms involved in the development of adriamycin cardiomyopathy are reviewed, and the possible synergistic effect of other antitumor antibiotics is discussed.",['cardiomyopathy']
Metronidazole neuropathy.,['neuropathy']
Two patients are described who developed sensory neuropathy after the ingestion of 30.6 and 114 g metronidazole respectively.,['sensory neuropathy']
A case of congestive heart failure in a child with Wilms' tumor treated Adriamycin is presented and discussed.,['congestive heart failure']
Radiologic recognition of adriamycin cardiotoxicity.,['cardiotoxicity']
The role of Adriamycin in the production of cardiotoxicity is reviewed.,['cardiotoxicity']
Prenatal cytomegalovirus (CMV) infection associated with severe brain damage was detected in an infant whose mother had been treated with prednisolone and azathioprine for systemic lupus erythematosus (SLE).,"['brain damage', 'brain damage', 'Prenatal cytomegalovirus (CMV) infection', 'Prenatal cytomegalovirus (CMV) infection']"
"A patient with chronic myeloid leukaemia treated with busulphan for 4-5 years, developed signs of busulphan toxicity and portal hypertension with ascites, oesophageal varices and jaundice.","['ascites', 'jaundice', 'oesophageal varices', 'portal hypertension']"
Acute myelogenous leukemia in patients receiving chlorambucil as long-term adjuvant chemotherapy for stage II breast cancer.,['Acute myelogenous leukemia']
"After the chlorambucil was discontinued, the wbc count began to slowly rise and the patient developed clinical AML.",['AML']
"Administration of intrathecal Ara-C in the same dose over longer intervals within 3-5 days between consecutive doses resulted in mild, transient neurological symptoms (paresthesias) in only one of 30 patients so treated.",['paresthesias']
Paraplegia following intrathecal cytosine arabinoside.,['Paraplegia']
Paraplegia following prophylactic intrathecal cytosine arabinoside (Ara-C) is described in a patient with acute myelogenous leukemia in remission who received doses of 100 mg/m2/d for 5 consecutive days.,"['Paraplegia', 'Paraplegia']"
"Three patients, in whom tumour overkill by cytotoxic treatment, including high dose methotrexate with folinic acid rescue, resulted in the 'phosphate shower syndrome' (hyper-uricaemia, hyperkalaemia and hyperphosphataemia with hypocalcaemia and tetany, with metabolic acidosis and acute renal impairment) are described.","['acute renal impairment', 'acute renal impairment', 'hyperkalaemia', 'hyperkalaemia', 'hyperphosphataemia', 'hyperphosphataemia', 'hyper-uricaemia', 'hyper-uricaemia', 'hypocalcaemia', 'hypocalcaemia', 'metabolic acidosis', 'metabolic acidosis', 'phosphate shower syndrome', 'phosphate shower syndrome', 'tetany', 'tetany']"
Deposits of plasma proteins in the skin during treatment with carbamazepine and diphenylhydantoin.,"['Deposits of plasma proteins in the skin', 'Deposits of plasma proteins in the skin']"
"An 8-year-old girl, who had been vaccinated with BCG without subsequent regional reactions, developed osteomyelitis in the left calcaneus 7 months later.",['osteomyelitis in the left calcaneus']
Metastatic osteomyelitis following BCG vaccination.,['Metastatic osteomyelitis']
"Five and one-half years after the diagnosis of myeloma, while in remission on cyclophosphamide therapy, the patient experienced severe abdominal right lower quadrant pain due to a large cecal lymphoma.","['abdominal right lower quadrant pain', 'cecal lymphoma']"
Gold nephropathy: tissue analysis by X-ray fluorescent spectroscopy.,['nephropathy']
"These findings are consistent with an immune-complex form of glomerulopathy in which gold is neither the antigen nor a hapten in the glomerular deposits, and they suggest the hypothesis that antibodies to tubular epithelial antigens induced by gold therapy may be a causative factor in the renal disease associated with gold therapy in rheumatoid arthritis.","['renal disease', 'renal disease']"
Three patients developed proteinuria following gold therapy for rheumatoid arthritis.,['proteinuria']
Four cases of fat embolism are described in infants receiving prolonged intravenous infusion of fat (Intralipid 20%).,['fat embolism']
"Conversely, diffuse interstitial pulmonary fibrosis should be considered in the differential diagnosis of patients receiving methotrexate who develop bilateral pulmonary infiltrates seen on chest roentgenograms.","['bilateral pulmonary infiltrates', 'diffuse interstitial pulmonary fibrosis']"
"In all three cases, autopsy revealed gross and microscopic features indistinguishable from those seen in the Hamman-Rich syndrome, and methotrexate hepatotoxicity was present in one.",['hepatotoxicity']
It is suggested therefore that methotrexate be added to the list of agents capable of inducing diffuse interstitial pulmonary fibrosis.,['diffuse interstitial pulmonary fibrosis']
Methotrexate-induced diffuse interstitial pulmonary fibrosis.,['diffuse interstitial pulmonary fibrosis']
"Pulmonary eosinophilia or granulomas, classically seen in previously reported cases of methotrexate pneumonitis, were not observed.","['granulomas', 'pneumonitis', 'Pulmonary eosinophilia']"
"Three patients received respectively 190 mg, 175 mg, and 196 mg of methotrexate and developed bilateral pulmonary infiltrates without evidence of peripheral blood eosinophilia.",['bilateral pulmonary infiltrates']
A patient with disseminated herpes zoster developed a syndrome of inappropriate antidiuretic hormone and profound hyponatremia secondary to the administration of adenine arabinoside.,"['hyponatremia', 'syndrome of inappropriate antidiuretic hormone']"
Inappropriate antidiuretic hormone following adenine arabinoside administration.,['Inappropriate antidiuretic hormone']
"The toxic effects of methotrexate included elevated liver transaminases (3/4), nausea (2/4), abdominal pain (2/4), bone pain (2/4), mild neutropenia (1/4), and mild pruritus (1/4).","['abdominal pain', 'bone pain', 'elevated liver transaminases', 'mild neutropenia', 'mild pruritus', 'nausea']"
Dystonia associated with carbamazepine administration: experience in brain-damaged children.,['Dystonia']
"In one child, a second course of carbamazepine resulted in a return of the dystonia.",['dystonia']
The currently available clinical and neuropharmacologic data suggest that carbamazepine may be an antagonist of dopamine and that this property is responsible for the production of dystonia.,['dystonia']
We have cared for three children in whom four episodes of dystonia proceeding to opisthotonus occurred in association with carbamazepine use.,"['dystonia', 'opisthotonus']"
Aplastic anemia and agranulocytosis in patients using methazolamide for glaucoma.,"['agranulocytosis', 'Aplastic anemia']"
"Several case reports of aplastic anemia with use of acetazolamide, and two cases with use of methazolamide, have appeared in the literature.","['aplastic anemia', 'aplastic anemia']"
"This article describes two cases of aplastic anemia, at least one of which was almost certainly induced by the use of methazolamide, and one case of agranulocytosis related to the use of methazolamide.","['agranulocytosis', 'aplastic anemia']"
Squamous-cell carcinoma arising in a basal-cell epithelioma treated with 5-fluorouracil.,['Squamous-cell carcinoma']
We report the development of squamous-cell carcinoma within a basal-cell epithelioma that was treated with intralesional injections of 5-FU.,['squamous-cell carcinoma']
Lower extremity arterial insufficiency after long-term methysergide maleate therapy.,['arterial insufficiency']
The patient whose case is reviewed had migraine headaches and received methysergide maleate for 13 years.,['migraine headaches']
A case of Erythema Multiforme Bullosum in patient of lepromatous leprosy with pulmonary tuberculosis due to Rifampicin is described.,['Erythema Multiforme Bullosum']
Erythema multiforme bullosum due to rifampicin.,['Erythema multiforme bullosum']
Renal damage associated with long term use of lithium carbonate.,['Renal damage']
The authors report 2 cases of renal damage associated with lithium carbonate treatment.,['renal damage']
"In two patients with mycosis fungoides, a squamous cell carcinoma developed during therapy with psoralens plus long-wave ultraviolet radiation (PUVA).",['squamous cell carcinoma']
Hyperglycemia and diabetic coma: possible relationship to diuretic-propranolol therapy.,"['diabetic coma', 'Hyperglycemia']"
Two patients developed diabetic coma when taking a combination of a thiazide diuretic and propranolol.,"['diabetic coma', 'diabetic coma']"
An insulin-dependent diabetic patient with nephropathy developed severe acidosis after treatment with acetazolamide for glaucoma.,['severe acidosis']
Severe acidosis from acetazolamide in a diabetic patient.,['Severe acidosis']
Five cases of clindamycin-associated pseudomembranous colitis in leukaemic patients are reported.,['pseudomembranous colitis']
An infertile patient with amenorrhea-galactorrhea syndrome lost vision during a pregnancy occurring after Bromocryptine treatment.,['lost vision']
Fatal acute tubular necrosis occurred in 1 patient in whom intravesical formalin was used to control massive persistent hemorrhage from radiation cystitis.,['Fatal acute tubular necrosis']
Fatal complication of intravesical formalin during control of intractable hemorrhage from radiation cystitis.,['Fatal complication']
Intravenous sodium bicarbonate appears to be indicated prophylactically in combating the associated metabolic acidosis due to absorbed formic acid.,['metabolic acidosis']
"A young woman developed galactorrhea during treatment with a new dibenzoxazepine antidepressant, amoxapine.","['galactorrhea', 'galactorrhea']"
A 15-kg weight gain developed in a patient during the third week of ibuprofen therapy.,['15-kg weight gain']
Edema associated with ibuprofen therapy.,['Edema']
